communs,record_count
Perthes-les-Brienne,9
Petit-Mesnil,15
Piney,29
Plaines-Saint-Lange,17
Plancy-l'Abbaye,22
Plancy-l’Abbaye,2
Planty,19
Plessis-Barbuise,11
Plessis-Gatebled,8
Poivres,17
Poligny,11
Polisot,25
Polisy,23
Pont-Sainte-Marie,20
Pont-sur-Seine,30
Pouan-les-Vallées,18
Pougy et Verricourt,16
Pouy-sur-Vannes,13
Praslin,15
Précy-Notre-Dame,18
Précy-Saint-Martin,17
Premierfait,12
Proverville,14
Prugny,15
Prunay-Belleville,14
Prunay-Saint-Jean,3
Prusy,10
Puits-et-Nuisement,13
Quincey,12
Racines,17
Radonvilliers,16
Ramerupt,19
Rances,14
Rhèges,15
Ricey-Bas,17
Ricey-Haut,22
Ricey-Haute-Rive,18
Riceys (Les),17
Rigny-la-Nonneuse,15
Rigny-le-Ferron,46
Rilly-Sainte-Syre,18
Rivière-de-Corps (La),11
Romaines,11
Romilly-sur-Seine,46
Roncenay,10
Rosières-près-Troyes,11
Rosnay-l'Hôpital,15
Rothière (La),13
Rouilly-Sacey,18
Rouilly-Saint-Loup,15
Rouvres-les-Vignes,14
Rumilly-les-Vaudes,17
Ruvigny,14
Saint-André-les-Vergers,21
Saint-Aubin,18
Saint-Benoît-sur-Seine,14
Saint-Benoît-sur-Vanne,17
Saint-Christophe-Dodinicourt,11
Saint-Etienne-sous-Barbuise,13
Saint-Flavy,13
Saint-Germain,19
Saint-Hilaire,1
Saint-Hilaire-sous-Romilly,31
Saint-Jean-de-Bonneval,40
Saint-Julien-les-Villas,17
Saint-Léger-près-Troyes,16
Saint-Léger-sous-Brienne,14
Saint-Léger-sous-Margerie,14
Saint-Loup-de-Buffigny,14
Saint-Lupien,14
Saint-Lyé,20
Saint-Mards-en-Othe,33
Saint-Martin-de-Bossenay,14
Saint-Mesmin,15
Saint-Nabord-sur-Aube,13
Saint-Nicolas-la-Chapelle,18
Saint-Oulph,14
Saint-Parres-aux-Tertres,19
Saint-Parres-lès-Vaudes,19
Saint-Phal,33
Saint-Pouange,14
Saint-Remy-sous-Barbuise,13
Saint-Thibault,13
Saint-Usage,12
Sainte-Maure,15
Sainte-Savine,34
Salon,21
Saulcy,12
Saulsotte (La),21
Savières,17
Semoine,19
Soligny-les-Etangs,13
Sommeval,17
Soulaines-Dhuys,18
Souligny,11
Spoy,15
Thennelières,15
Thieffrain,12
Thil,14
Thors,17
Torcy-le-Grand,14
Torcy-le-Petit,11
Torvilliers,15
Traînel,69
Trancault,19
Trancault-Charmesseaux,3
Trancault-Villeneuve-aux-Riches-Hommes,4
Trannes,14
Trouan-le-Grand,14
Trouan-le-Petit,14
Turgy,11
Unienville,15
Urville,22
Vailly,14
Vallant-Saint-Georges,16
Vallentigny,13
Vallières,17
Vanlay,17
Vauchassis,17
Vauchonvilliers,12
Vaucogne,14
Vaudes,20
Vaupoisson,13
Vendeuvre-sur-Barse,23
Vendue-Mignot (La),11
Vernonvilliers,13
Verpillières-sur-Ource,14
Verricourt,11
Verrières,22
Viâpres-le-Grand,17
Viâpres-le-Petit,13
Villacerf,14
Villadin,15
Ville-aux-Bois-les-Soulaines,6
Ville-aux-Bois-les-Soulaines (La),7
Ville-aux-Bois-les-Vendeuvre (La),3
Ville-sous-la-Ferté,16
Ville-sur-Arce,19
Ville-sur-Terre,15
Villechétif,11
Villehardouin,14
Villeloup,15
Villemaur-sur-Vanne,19
Villemereuil,11
Villemoiron-en-Othe,17
Villemorien,25
Villemoyenne,16
Villenauxe-la-Grande,1
Villeneuve-au-Châtelot (La),12
Villeneuve-au-Chemin,16
Villeneuve-au-Chêne,6
Villeneuve-au-Chêne (La),17
Villeret,13
Villery,11
Villette-sur-Aube,17
Villiers-Herbisse,15
Villiers-le-Bois,15
Villiers-sous-Praslin,14
Villy-en-Trodes,15
Villy-le-Bois,11
Villy-le-Maréchal,16
Vinets,15
Virey-sous-Bar,18
Vitry-le-Croisé,17
Viviers-sur-Artaut,22
Voigny,16
Vosnon,28
Voué,17
Vougrey,14
Vulaines,15
Yèvres-le-Petit,12
