communs,record_count
Sury-près-Léré,31
Tendron,25
Thaumiers,41
Thauvenay,31
Thénioux,32
Thou,30
Torteron,15
Touchay,33
Trouy,31
Uzay-le-Venon,46
Vailly-sur-Sauldre,29
Valentigny,47
Vallenay,38
Vasselay,33
Veaugues,39
Venesmes,39
Verdigny,27
Vereaux,33
Vernais,27
Verneuil,20
Vesdun,43
Vierzon,335
Vierzon-Bourgneuf,102
Vierzon-Forges,98
Vierzon-Villages,204
Vierzon-Ville,195
Vignoux-sous-les-Aix,30
Vignoux-sur-Barangeon,36
Villabon,34
Villecelin,26
Villegenon,31
Villeneuve-sur-Cher,32
Villequiers,35
Vinon,29
Vorly,29
Vornay,30
Vouzeron,47
